county,tract,total_commute,auto,bus,subway_rail,taxi,walk_other,total_drive,veh_occ
Queens,015801,1701,0.567,0.403,0.024,0.004,0.002,964,1.05
Queens,015802,2534,0.406,0.528,0.003,0.005,0.058,1029,1.05
Queens,018101,2009,0.107,0.815,0.006,0.003,0.069,214,1.09
Queens,018102,2059,0.154,0.716,0.015,0.005,0.11,318,1.17
Queens,018501,1640,0.227,0.685,0.005,0.032,0.051,373,1.18
Queens,018502,2051,0.113,0.767,0.0,0.024,0.096,231,1.3
Queens,062400,0,,,,,,0,
Queens,000200,1596,0.378,0.561,0.018,0.0,0.043,604,1.04
Queens,001800,1426,0.323,0.597,0.025,0.006,0.049,461,1.05
Queens,065900,976,0.569,0.355,0.006,0.031,0.039,555,1.09
Queens,067900,1932,0.374,0.492,0.007,0.0,0.127,722,1.09
Queens,069701,2048,0.228,0.728,0.004,0.014,0.026,467,1.11
Queens,009800,1220,0.451,0.514,0.0,0.0,0.035,550,1.48
Queens,104700,2854,0.559,0.349,0.015,0.001,0.076,1596,1.11
Queens,004001,1020,0.331,0.55,0.0,0.006,0.113,338,1.08
Queens,005400,2880,0.385,0.537,0.006,0.019,0.053,1108,1.11
Queens,005800,2946,0.491,0.482,0.012,0.006,0.009,1447,1.12
Queens,006300,3368,0.086,0.827,0.01,0.0,0.077,288,1.06
Queens,008800,1516,0.526,0.427,0.0,0.007,0.04,798,1.11
Queens,009700,2167,0.215,0.695,0.0,0.012,0.078,466,1.09
Queens,010600,1816,0.383,0.54,0.007,0.007,0.063,696,1.06
Queens,023500,3963,0.271,0.616,0.009,0.011,0.093,1074,1.05
Queens,028400,1900,0.535,0.392,0.036,0.0,0.037,1017,1.05
Queens,029100,2863,0.259,0.628,0.011,0.023,0.079,742,1.07
Queens,038400,1116,0.493,0.444,0.039,0.008,0.016,550,1.01
Queens,040100,3662,0.158,0.641,0.084,0.01,0.107,579,1.34
Queens,041100,2035,0.203,0.623,0.016,0.027,0.131,413,1.3
Queens,041400,2182,0.434,0.501,0.037,0.017,0.011,947,1.09
Queens,043200,582,0.552,0.421,0.01,0.0,0.017,321,1.09
Queens,044601,1764,0.306,0.555,0.024,0.056,0.059,540,1.02
Queens,045700,1939,0.209,0.655,0.048,0.0,0.088,406,1.16
Queens,045900,1908,0.255,0.714,0.005,0.0,0.026,487,1.04
